,q05,q10,median,q90,q95
confidence_score,0.4350753277540207,0.4585672318935394,0.5535628795623779,0.661714494228363,0.6931861639022827
affinity_pred_value_log10_IC50_uM,-1.9375916719436646,-1.893821954727173,-1.707173705101013,-1.447252035140991,-1.3589537143707275
IC50_uM,0.011545382563535541,0.01276962210551069,0.01962575147127156,0.03570655613136613,0.04375687373567511
IC50_M,1.1545382563535534e-08,1.276962210551069e-08,1.962575147127156e-08,3.570655613136613e-08,4.375687373567511e-08
binding_affinity_likelihood,0.9387288391590118,0.9687492847442627,0.9946984052658081,0.9977083206176758,0.9980309903621674
affinity_pic50,10.037612866401675,10.15805177593231,10.51258493375778,10.76717314624787,10.82687504053116
calc_pIC50_from_M,7.3589537143707275,7.447252035140991,7.707173705101013,7.893821954727173,7.9375916719436646
pic50_minus_physical_pIC50,2.6786591520309475,2.7107997407913196,2.8054112286567676,2.8733511915206975,2.8892833685874955
