,length_nt,confidence_score,affinity_pred_value_log10_IC50_uM,IC50_uM,IC50_M,binding_affinity_likelihood,affinity_pic50,calc_pIC50_from_M
length_nt,1.0,-0.09531404419906553,-0.13152337525274232,-0.1187416797187406,-0.11874167971873932,0.09069996970842156,0.1315233752527455,0.13152337525274316
confidence_score,-0.09531404419906553,1.0,0.11451041353821484,0.1376220957148817,0.1376220957148799,-0.07877276518244235,-0.11451041353821781,-0.11451041353821516
affinity_pred_value_log10_IC50_uM,-0.13152337525274232,0.11451041353821484,1.0,0.9364586426416652,0.9364586426416759,-0.6626048300811712,-0.999999999999987,-0.9999999999999994
IC50_uM,-0.1187416797187406,0.1376220957148817,0.9364586426416652,1.0,0.9999999999999943,-0.8184879389475956,-0.9364586426417043,-0.9364586426416696
IC50_M,-0.11874167971873932,0.1376220957148799,0.9364586426416759,0.9999999999999943,1.0,-0.8184879389476007,-0.9364586426416871,-0.9364586426416741
binding_affinity_likelihood,0.09069996970842156,-0.07877276518244235,-0.6626048300811712,-0.8184879389475956,-0.8184879389476007,1.0,0.6626048300811784,0.6626048300811705
affinity_pic50,0.1315233752527455,-0.11451041353821781,-0.999999999999987,-0.9364586426417043,-0.9364586426416871,0.6626048300811784,1.0,0.9999999999999867
calc_pIC50_from_M,0.13152337525274316,-0.11451041353821516,-0.9999999999999994,-0.9364586426416696,-0.9364586426416741,0.6626048300811705,0.9999999999999867,1.0
