split,n,label_0,label_1,mean_length,sd_length,mean_gc,sd_gc,unique_sequences,unique_clusters
train,8006,4003,4003,57.39258056457657,4.757572211994975,0.5062292233262419,0.06650917751059332,8006,8006
validation,1716,857,859,57.3986013986014,4.754703464976349,0.5061199146900465,0.06907886055314684,1716,1716
test,1716,859,857,57.395687645687644,4.75623439806289,0.5094249844074638,0.06678197793104135,1716,1716
