metric,n_seeds,mean,sd,minimum,maximum
ROC-AUC,5,0.8016133655182346,0.0011017591463027,0.8000782435411723,0.8029702660959596
PR-AUC,5,0.8000934581432736,0.0016417401354794,0.7974395516673718,0.8015885175171026
Accuracy,5,0.727039627039627,0.0054448991267124,0.7231934731934732,0.7365967365967366
Balanced accuracy,5,0.727044961509883,0.0054454118937875,0.7232114355108855,0.7366058875547943
F1,5,0.7280199811745708,0.0064516795059674,0.722254844392249,0.7384259259259259
MCC,5,0.4542126247480117,0.0108481792787686,0.446627678123583,0.473265780260469
Brier score,5,0.1865618824958801,0.0076854971398577,0.1819121837615966,0.2001975327730178
Pearson r,5,0.5212272446770381,0.0029789003493641,0.5164379294148042,0.5238042251905192
