model,model_type,roc_auc,pr_auc,accuracy,balanced_accuracy,f1,precision,sensitivity,specificity,mcc,brier,pearson_r,pearson_ci_low,pearson_ci_high
Length + GC LR,Baseline,0.6501630752971828,0.6551765594283293,0.6136363636363636,0.6136922121867032,0.6310517529215359,0.6031914893617021,0.661610268378063,0.5657741559953434,0.2284298833796721,0.2351948537520889,0.2596402741055019,0.2152798214215646,0.304053910039277
Simple-feature LR,Baseline,0.7499650213335904,0.7430673747579888,0.6748251748251748,0.6748668433485518,0.6858108108108109,0.6626768226332971,0.7106184364060677,0.6391152502910361,0.3506206919482091,0.2077618664870404,0.4349229275105332,0.3984524750654866,0.4712373037628673
1–4-mer LR,Baseline,0.7697140443081218,0.7648977037757891,0.6858974358974359,0.6859520242120292,0.6997214484679666,0.6695095948827292,0.7327887981330222,0.6391152502910361,0.3735310263590216,0.1951833270602595,0.471400981255379,0.4350516004143364,0.5069477290073482
1–4-mer RF,Baseline,0.7786183223009034,0.7683592883300969,0.7062937062937062,0.7063625854600136,0.7224669603524229,0.6840458811261731,0.7654609101516919,0.6472642607683353,0.4156145141047137,0.1949134107685964,0.4815573893297225,0.445967890225586,0.5177281891692006
CNN–BiLSTM ensemble,Deep learning,0.8073089791255469,0.8058529283321287,0.7342657342657343,0.7343197090861671,0.745819397993311,0.7139807897545357,0.780630105017503,0.6880093131548312,0.4706383185169719,0.1815645843744278,0.531646115745331,0.4967151622223114,0.5658458915865854
