metric,point_estimate,bootstrap_n,mean,ci_lower_2p5,ci_upper_97p5
roc_auc,0.8073089791255469,1000,0.8067429994665776,0.7868586860886725,0.8268481324757457
pr_auc,0.8058529283321287,1000,0.8054136951174148,0.7810303539826223,0.8300884701762256
accuracy,0.7342657342657343,1000,0.7337162004662005,0.7132721445221446,0.7529283216783217
balanced_accuracy,0.7343197090861671,1000,0.7337516237504514,0.712644232985573,0.7535339412884626
f1,0.745819397993311,1000,0.7453110110479031,0.7235148166086919,0.7671270739150517
mcc,0.4706383185169719,1000,0.4695179120471134,0.4284618956529273,0.5088832565075473
pearson_r,0.531646115745331,10000,0.5317245384012198,0.4967151622223114,0.5658458915865854
