metric,difference_definition,point_improvement,bootstrap_mean_improvement,bootstrap_sd,ci_lower_2p5,ci_upper_97p5,probability_improvement_gt_zero,paired_bootstrap_p_value,interpretation
roc_auc,positive means CNN-BiLSTM better,0.028690656824643446,0.028656386696967923,0.007532055174367473,0.013712350389791376,0.04326935746567001,1.0,0.00019998000199980003,CNN-BiLSTM better; 95% CI excludes zero
pr_auc,positive means CNN-BiLSTM better,0.037493640002031814,0.03724998237610564,0.008992988949938292,0.01984463054916187,0.05502515262986345,1.0,0.00019998000199980003,CNN-BiLSTM better; 95% CI excludes zero
accuracy,positive means CNN-BiLSTM better,0.027972027972028024,0.02781386946386946,0.009903561518912578,0.00815850815850816,0.04662004662004671,0.9974,0.0053994600539946005,CNN-BiLSTM better; 95% CI excludes zero
balanced_accuracy,positive means CNN-BiLSTM better,0.027957123626153435,0.027799107398769025,0.00990338092462887,0.008146293687675273,0.046613317974416035,0.9977,0.0047995200479952005,CNN-BiLSTM better; 95% CI excludes zero
f1,positive means CNN-BiLSTM better,0.023352437640888124,0.02323696347611014,0.009708741043603891,0.004167436449328943,0.04191963330895895,0.9917,0.016798320167983202,CNN-BiLSTM better; 95% CI excludes zero
mcc,positive means CNN-BiLSTM better,0.05502380441225824,0.05472248291644304,0.019927048335673495,0.015357541392040009,0.09306017348468121,0.9972,0.0057994200579942,CNN-BiLSTM better; 95% CI excludes zero
brier_improvement,positive means CNN-BiLSTM better,0.013348830774299825,0.013310827689776586,0.003188556189462209,0.007006032797725731,0.019490605728309563,1.0,0.00019998000199980003,CNN-BiLSTM better; 95% CI excludes zero
