metric,cnn_bilstm_ensemble,kmer_rf,raw_difference_cnn_minus_rf,point_improvement,ci_lower_2p5,ci_upper_97p5,probability_improvement_gt_zero,paired_bootstrap_p_value,interpretation
roc_auc,0.8073089791255469,0.7786183223009034,0.0286906568246434,0.0286906568246434,0.0137123503897913,0.04326935746567,1.0,0.0001999800019998,CNN-BiLSTM better; 95% CI excludes zero
pr_auc,0.8058529283321287,0.7683592883300969,0.0374936400020318,0.0374936400020318,0.0198446305491618,0.0550251526298634,1.0,0.0001999800019998,CNN-BiLSTM better; 95% CI excludes zero
accuracy,0.7342657342657343,0.7062937062937062,0.027972027972028,0.027972027972028,0.0081585081585081,0.0466200466200467,0.9974,0.0053994600539946,CNN-BiLSTM better; 95% CI excludes zero
balanced_accuracy,0.7343197090861671,0.7063625854600136,0.0279571236261534,0.0279571236261534,0.0081462936876752,0.046613317974416,0.9977,0.0047995200479952,CNN-BiLSTM better; 95% CI excludes zero
f1,0.745819397993311,0.7224669603524229,0.0233524376408881,0.0233524376408881,0.0041674364493289,0.0419196333089589,0.9917,0.0167983201679832,CNN-BiLSTM better; 95% CI excludes zero
mcc,0.4706383185169719,0.4156145141047137,0.0550238044122582,0.0550238044122582,0.01535754139204,0.0930601734846812,0.9972,0.0057994200579942,CNN-BiLSTM better; 95% CI excludes zero
brier_improvement,0.1815645799942965,0.1949134107685963,-0.0133488307742998,0.0133488307742998,0.0070060327977257,0.0194906057283095,1.0,0.0001999800019998,CNN-BiLSTM better; 95% CI excludes zero
