metric,cnn_bilstm_ensemble,kmer_rf,raw_difference_cnn_minus_rf
roc_auc,0.8073089791255469,0.7786183223009034,0.028690656824643446
pr_auc,0.8058529283321287,0.7683592883300969,0.037493640002031814
accuracy,0.7342657342657343,0.7062937062937062,0.027972027972028024
balanced_accuracy,0.7343197090861671,0.7063625854600136,0.027957123626153435
f1,0.745819397993311,0.7224669603524229,0.023352437640888124
mcc,0.4706383185169719,0.4156145141047137,0.05502380441225824
brier,0.18156457999429654,0.19491341076859636,-0.013348830774299825
