comparison,n_ga,n_seed,ga_mean,seed_mean,mean_delta_ga_minus_seed,mean_delta_boot_ci_low,mean_delta_boot_ci_high,ga_median,seed_median,median_delta_ga_minus_seed,median_delta_boot_ci_low,median_delta_boot_ci_high,welch_t_p,mann_whitney_p,cliffs_delta_ga_vs_seed
GA60_vs_Seed40_all,60,40,10.887845833333333,10.977269531249998,-0.08942369791666493,-0.11890820963541575,-0.0607406250000011,10.90134375,10.96528125,-0.06393749999999976,-0.11189062500000091,-0.04262499999999925,6.706630521437645e-08,7.028711954382435e-07,-0.5854166666666667
GA60_vs_Seed40_65nt,60,8,10.887845833333333,10.997250000000001,-0.10940416666666763,-0.17369687500000097,-0.05257083333333412,10.90134375,10.96528125,-0.06393749999999976,-0.1758281249999989,-0.04262499999999925,0.008949410559597696,0.004050561377426151,-0.6291666666666667
