model,metric,bootstrap_n,mean,ci_lower_2p5,ci_upper_97p5
kmer_lr,accuracy,1000,0.6860052447552448,0.6643356643356644,0.7074592074592074
kmer_lr,balanced_accuracy,1000,0.686022649145019,0.6645260769726805,0.7074063914400669
kmer_lr,roc_auc,1000,0.7698776375990839,0.7485751315961489,0.7914602743514427
kmer_lr,pr_auc,1000,0.7657272502117366,0.7358712600294679,0.7958027546901119
kmer_lr,f1,1000,0.6997602613827556,0.6748237584175084,0.7234302327163051
kmer_lr,mcc,1000,0.3736585911503824,0.3303544526014664,0.41597724072834236
