model,metric,bootstrap_n,mean,ci_lower_2p5,ci_upper_97p5
length_gc_lr,accuracy,1000,0.6133700466200467,0.5903117715617716,0.6346153846153846
length_gc_lr,balanced_accuracy,1000,0.6133785522395155,0.5904671271731051,0.6343505165437505
length_gc_lr,roc_auc,1000,0.6497730316774715,0.6230070779597741,0.6730871365743
length_gc_lr,pr_auc,1000,0.6559181827476368,0.6184890493149506,0.6888562802897674
length_gc_lr,f1,1000,0.630832412338609,0.6044984972819174,0.6564236062352891
length_gc_lr,mcc,1000,0.2277963336899226,0.18142129659513115,0.2696603380836991
