max_depth,min_samples_leaf,validation_auc
,1,0.7768381458997531
,2,0.7777292528964374
16.0,1,0.7784132046842888
16.0,2,0.7808229970808096
24.0,1,0.7777734007278279
24.0,2,0.7799509076114937
