pair	Pearson	Spearman	RMSE	Jaccard_0.5
rep1-rep2	0.959949	0.851960	0.076745	0.833333
rep1-rep3	0.942388	0.746775	0.091675	0.833333
rep2-rep3	0.975103	0.696151	0.059104	1.000000
