predictor,unique_values,pearson_r,pearson_p,spearman_rho,spearman_p
pred_strong_prob_cls,3,-0.15665128953725882,0.23197510607217534,-0.1903652642358683,0.14514284852822248
score,3,-0.15665128953725882,0.23197510607217534,-0.1903652642358683,0.14514284852822248
confidence_score,60,0.06869850564700318,0.6019772965395381,0.04406929665943174,0.7381222839459908
binding_affinity_likelihood,2,0.515877933665499,2.4583447406264856e-05,0.37875105849025137,0.002843998302033441
